enrollment_id,student_id,course_id,enrollment_date,enrollment_status,completion_date,data_origin
ENR-050,STU-025,CRS-007,2026-01-11,In Progress,,synthetic_demo
ENR-051,STU-026,CRS-006,2026-01-04,Completed,2026-04-14,synthetic_demo
ENR-052,STU-026,CRS-010,2026-01-16,Completed,2026-04-26,synthetic_demo
ENR-053,STU-027,CRS-009,2026-01-09,In Progress,,synthetic_demo
ENR-054,STU-027,CRS-003,2026-01-21,In Progress,,synthetic_demo
ENR-055,STU-028,CRS-002,2026-01-14,In Progress,,synthetic_demo
ENR-056,STU-028,CRS-006,2026-01-26,In Progress,,synthetic_demo
ENR-057,STU-029,CRS-005,2026-01-19,In Progress,,synthetic_demo
ENR-058,STU-029,CRS-009,2026-01-31,In Progress,,synthetic_demo
ENR-059,STU-030,CRS-008,2026-01-24,In Progress,,synthetic_demo
ENR-060,STU-030,CRS-002,2026-02-05,In Progress,,synthetic_demo
ENR-061,STU-031,CRS-001,2026-01-29,Completed,2026-05-09,synthetic_demo
ENR-062,STU-031,CRS-005,2026-02-10,Completed,2026-05-21,synthetic_demo
ENR-063,STU-032,CRS-004,2026-02-03,In Progress,,synthetic_demo
ENR-064,STU-032,CRS-008,2026-02-15,In Progress,,synthetic_demo
ENR-065,STU-033,CRS-007,2026-02-08,In Progress,,synthetic_demo
ENR-066,STU-033,CRS-001,2026-02-20,In Progress,,synthetic_demo
ENR-067,STU-034,CRS-010,2026-02-13,In Progress,,synthetic_demo
ENR-068,STU-034,CRS-004,2026-02-25,In Progress,,synthetic_demo
ENR-069,STU-035,CRS-003,2026-02-18,In Progress,,synthetic_demo
ENR-070,STU-035,CRS-007,2026-03-02,In Progress,,synthetic_demo
ENR-071,STU-036,CRS-006,2026-02-23,Completed,2026-06-03,synthetic_demo
ENR-072,STU-036,CRS-010,2026-03-07,Completed,2026-06-15,synthetic_demo
ENR-073,STU-037,CRS-009,2026-02-28,In Progress,,synthetic_demo
ENR-074,STU-037,CRS-003,2026-03-12,In Progress,,synthetic_demo
ENR-075,STU-038,CRS-002,2026-03-05,In Progress,,synthetic_demo
ENR-076,STU-038,CRS-006,2026-03-17,In Progress,,synthetic_demo
ENR-077,STU-039,CRS-005,2026-03-10,In Progress,,synthetic_demo
ENR-078,STU-039,CRS-009,2026-03-22,In Progress,,synthetic_demo
ENR-079,STU-040,CRS-008,2026-03-15,In Progress,,synthetic_demo
ENR-080,STU-040,CRS-002,2026-03-27,In Progress,,synthetic_demo
ENR-081,STU-041,CRS-001,2026-03-20,Completed,2026-06-28,synthetic_demo
ENR-082,STU-041,CRS-005,2026-04-01,Completed,2026-07-10,synthetic_demo
ENR-083,STU-042,CRS-004,2026-03-25,In Progress,,synthetic_demo
ENR-084,STU-042,CRS-008,2026-04-06,In Progress,,synthetic_demo
ENR-085,STU-043,CRS-007,2026-03-30,In Progress,,synthetic_demo
ENR-086,STU-043,CRS-001,2026-04-11,In Progress,,synthetic_demo
ENR-087,STU-044,CRS-010,2026-04-04,In Progress,,synthetic_demo
ENR-088,STU-044,CRS-004,2026-04-16,In Progress,,synthetic_demo
ENR-089,STU-045,CRS-003,2026-04-09,In Progress,,synthetic_demo
ENR-090,STU-045,CRS-007,2026-04-21,In Progress,,synthetic_demo
ENR-091,STU-046,CRS-006,2026-04-14,Completed,2026-07-23,synthetic_demo
ENR-092,STU-046,CRS-010,2026-04-26,Completed,2026-08-04,synthetic_demo
ENR-093,STU-047,CRS-009,2026-04-19,In Progress,,synthetic_demo
ENR-094,STU-047,CRS-003,2026-05-01,In Progress,,synthetic_demo
ENR-095,STU-048,CRS-002,2026-04-24,In Progress,,synthetic_demo
ENR-096,STU-048,CRS-006,2026-05-06,In Progress,,synthetic_demo
ENR-097,STU-049,CRS-005,2026-04-29,In Progress,,synthetic_demo
ENR-098,STU-049,CRS-009,2026-05-11,In Progress,,synthetic_demo
ENR-099,STU-050,CRS-008,2026-05-04,In Progress,,synthetic_demo
ENR-100,STU-050,CRS-002,2026-05-16,In Progress,,synthetic_demo
ENR-101,STU-051,CRS-001,2026-05-09,Completed,2026-08-17,synthetic_demo
ENR-102,STU-051,CRS-005,2026-05-21,Completed,2026-08-29,synthetic_demo
ENR-103,STU-052,CRS-004,2026-05-14,In Progress,,synthetic_demo
ENR-104,STU-052,CRS-008,2026-05-26,In Progress,,synthetic_demo
ENR-105,STU-053,CRS-007,2026-05-19,In Progress,,synthetic_demo
ENR-106,STU-053,CRS-001,2026-05-31,In Progress,,synthetic_demo
ENR-107,STU-054,CRS-010,2026-05-24,In Progress,,synthetic_demo
ENR-108,STU-054,CRS-004,2026-06-05,In Progress,,synthetic_demo
ENR-109,STU-055,CRS-003,2026-05-29,In Progress,,synthetic_demo
ENR-110,STU-055,CRS-007,2026-06-10,In Progress,,synthetic_demo
ENR-111,STU-056,CRS-006,2026-06-03,Completed,2026-09-11,synthetic_demo
ENR-112,STU-056,CRS-010,2026-06-15,Completed,2026-09-23,synthetic_demo
ENR-113,STU-057,CRS-009,2026-06-08,In Progress,,synthetic_demo
ENR-114,STU-057,CRS-003,2026-06-20,In Progress,,synthetic_demo
ENR-115,STU-058,CRS-002,2026-06-13,In Progress,,synthetic_demo
ENR-116,STU-058,CRS-006,2026-06-25,In Progress,,synthetic_demo
ENR-117,STU-059,CRS-005,2026-06-18,In Progress,,synthetic_demo
ENR-118,STU-059,CRS-009,2026-06-30,In Progress,,synthetic_demo
ENR-119,STU-060,CRS-008,2026-06-23,In Progress,,synthetic_demo
ENR-120,STU-060,CRS-002,2026-07-05,In Progress,,synthetic_demo
